投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题4
广汽丰田,威兰达,2020款 2.0L CVT 两驱 豪华版,广汽丰田威兰达空调系统有严重的霉味,车身附件及电器,空调异味,
广汽本田,飞度,2014款 1.5 CVT EX精英型,广汽本田飞度启动困难要求更换启动器,发动机,无法启动,
东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L方向盘晃动要求解决,转向系统,方向盘自由间隙过大,
奇瑞汽车,艾瑞泽GX,2019款 Pro 1.5T CVT 型色版 国VI,奇瑞艾瑞泽GX蓄电池故障希望厂家处理,车身附件及电器,电瓶故障,
广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度启动机故障发动机启动困难,发动机,无法启动,
长安福特,金牛座,2019款 EcoBoost 245 尊享版,长安福特金牛座电池亏电空调无法制冷,车身附件及电器,空调问题,电瓶故障
一汽丰田,卡罗拉,2018款 1.2T S-CVT GL-i智辉版,一汽丰田卡罗拉变速箱顿挫异响厂家未处理,变速器,异响,顿挫
北京奔驰,奔驰GLC,2020款 GLC 260 L 4MATIC 豪华型,北京奔驰GLC行驶抖动 4S店无书面检测报告,发动机,抖动,
北京奔驰,奔驰GLC,2017款 260 4MATIC 动感型,北京奔驰GLC空调蒸发箱挡板故障导致不制热,车身附件及电器,空调问题,
广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁方向机异响松动严重,转向系统,异响,转向机故障
广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁方向机异响松动严重,转向系统,异响,转向机故障
广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁方向机异响松动严重,转向系统,异响,转向机故障
广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁方向机异响松动严重,转向系统,异响,转向机故障
广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁方向机异响松动严重,转向系统,异响,转向机故障
广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁方向机异响松动严重,转向系统,异响,转向机故障
广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁方向机异响松动严重,转向系统,异响,转向机故障
广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁方向机异响松动严重,转向系统,异响,转向机故障
吉利新能源,星越新能源,2019款 400T 驭星者 纯电动续航80KM,吉利星越新能源发动机抖动辅助驾驶故障,发动机,抖动,行车安全辅助系统故障
路虎进口,揽胜运动版新能源,2018款 P400e,路虎揽胜运动版无法充电维修后仍未解决,车身附件及电器,充电故障,
广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度车身和底盘出现严重生锈,车身附件及电器,车身生锈,
吉利汽车,嘉际,2021款 1.8TD DCT 舒适型,吉利嘉际购车时承诺旅游基金未兑现,,承诺不兑现,
东风标致,标致408,2014款 1.6T 自动 至尊版,东风标致408后桥异响严重希望厂家处理,前后桥及悬挂系统,前后桥异响,
长安汽车,逸动XT,2016款 1.6L GDI 手动 致酷型 XT,长安逸动XT店内承诺赠送保养与实际不符,,承诺不兑现,
长城汽车,哈弗H6 Coupe,2015款 2.0T 手动 两驱精英型,哈弗H6 Coupe车身生锈 空滤管变形,车身附件及电器,车身生锈,部件开裂
一汽-大众,高尔夫,2017款 230TSI 自动 舒适百万辆纪念版,一汽大众高尔夫故障灯亮重启后再次出现,变速器,故障灯亮,
林肯（进口）,林肯MKX,2017款 2.0T 两驱 尊享版,进口林肯MKX启动时发动机抖动 漏防冻液,发动机,抖动,漏防冻液
上汽大众,途观X,2021款 330TSI 两驱 越享版,上汽大众途观X发动机盖螺丝有拆卸过痕迹,,销售欺诈,
上汽大众斯柯达,速派,2019款 改款 TSI330 DSG 舒适版,斯柯达速派车载互联故障导致中控无画面,车身附件及电器,车载互联故障,
一汽-大众,一汽-大众CC,2013款 1.8TSI 尊贵型,一汽大众CC发动机气门断裂无法启动,发动机,无法启动,气门故障
长安福特,探险者,2020款 EcoBoost 285 四驱 钛金版 7座,长安福特探险者车机4G信号故障要求解决,车身附件及电器,车载互联故障,
上汽大众,凌渡,2018款 280TSI 双离合 舒适版,上汽大众凌渡天窗U型塑料饰板自然开裂,车身附件及电器,部件开裂,
特斯拉中国,Model Y,2021款 长续航 全轮驱动版,特斯拉Model Y行驶时低频共振严重,车身附件及电器,车身共振,
观致汽车,观致5,2018款 1.6T 自动 尊贵型 改款,观致5下坡时变速箱空转要求解决,变速器,无法换挡,
上汽大众,凌渡,2015款 230TSI DSG  风尚版,上汽大众凌渡天窗周围黑色塑料面板开裂,车身附件及电器,部件开裂,
东风日产,骐达TIIDA,2021款 1.6L CVT 智行版,东风日产骐达车辆出现虚假维修记录,,人员技术,
一汽-大众,探岳X,2020款 330TSI 两驱 尊贵智联版,一汽大众探岳X系统升级后油耗升高,,服务流程不完善,
东风本田,INSPIRE,2019款 锐·混动 2.0L 净尚版 国V,东风本田INSPIRE后轮内侧吃胎偏磨非常严重,前后桥及悬挂系统,吃胎偏磨,
广汽三菱,奕歌,2019款 1.5T CVT 两驱 梦想版 国VI,广汽三菱奕歌天窗异响严重希望厂家解决,车身附件及电器,天窗异响,
特斯拉中国,Model Y,2021款 长续航 全轮驱动版,特斯拉Model Y行驶过程中低频共振,车身附件及电器,车身共振,
一汽-大众,探岳X,2020款 330TSI 两驱 尊贵智联版,一汽大众探岳X颗粒捕捉器堵塞 油耗高,发动机,油耗高,排气故障
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8发动机水泵处存在漏水的现象,发动机,漏防冻液,
吉利汽车,帝豪GL,2017款 1.3T 手动 精英型,吉利帝豪GL四个车门内侧漆面有鼓包现象,车身附件及电器,车身生锈,漆面起泡开裂
广汽丰田,凯美瑞,2010款 240G 2.4 自动 经典版,广汽丰田凯美瑞中控台出油反光影响行驶安全,车身附件及电器,仪表台开裂,
北京现代,北京现代ix35,2020款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35购车时经销商强制上外地牌照,,服务收费,服务收费
北京现代,北京现代ix35,2020款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35购车时经销商强制上外地牌照,,服务收费,服务收费
北京现代,北京现代ix35,2020款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35购车时经销商强制上外地牌照,,服务收费,服务收费
北京现代,北京现代ix35,2020款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35购车时经销商强制上外地牌照,,服务收费,服务收费
北京现代,北京现代ix35,2020款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35购车时经销商强制上外地牌照,,服务收费,服务收费
北京现代,北京现代ix35,2020款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35购车时经销商强制上外地牌照,,服务收费,服务收费
北京现代,北京现代ix35,2020款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35购车时经销商强制上外地牌照,,服务收费,服务收费
北京现代,北京现代ix35,2020款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35购车时经销商强制上外地牌照,,服务收费,服务收费
昌河铃木,利亚纳A6,2014款 1.4L 手动 畅想型 两厢,昌河铃木利亚纳A6转向助力失效无配件维修,转向系统,助力泵故障,配件争议
北京现代,索纳塔,2020款 380TGDi GS 自动 智享版,北京现代索纳塔发动机故障码反复出现,发动机,故障灯亮,
东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客变速箱顿挫钢带打滑无法换挡,变速器,异响,无法换挡
东南汽车,东南DX3新能源,2019款 EV400 旗舰版,东南DX3新能源方向机异响要求免费维修,转向系统,异响,
江铃集团新能源,江铃E200N,2018款 E200N 时尚型(250KM),江铃E200N油门故障希望厂家处理问题,发动机,油门故障,
长安福特,福睿斯,2017款 1.5L 自动 舒适型 改款,长安福特福睿斯车门有喷漆疑似出售问题车,,销售欺诈,
广汽本田,飞度,2016款 1.5L EXLI CVT 领先型,广汽本田飞度低速加速时变速箱顿挫明显,变速器,异响,顿挫
一汽丰田,RAV4荣放,2020款 2.5L CVT 两驱 精英版 双擎,一汽丰田RAV4荣放机油乳化增多厂家未解决,发动机,机油增多,机油乳化
一汽-大众捷达,捷达VS7,2020款 1.4T 自动 荣耀型,一汽大众捷达VS7玲珑轮胎开裂希望厂家处理,轮胎,开裂,
吉利汽车,帝豪GS,2020款 1.4T 手动 雅,吉利帝豪GS事故维修时间长提车后有划痕,,服务态度,人员技术
长安汽车,长安CS55,2017款 1.5T 手动 炫色型,长安CS55底盘悬挂异响多次维修未解决,前后桥及悬挂系统,底盘异响,悬挂故障
上汽通用五菱,新宝骏E300,2020款 Plus 星际智行版,新宝骏E300储物箱无法关闭 空调出风口缝隙大,车身附件及电器,空调问题,部件异常磨损
东风本田,本田CR-V,2019款 240TURBO CVT 两驱 都市版 国V,东风本田CR-V安全带未系异常报警要求处理,车身附件及电器,安全带故障,
一汽-大众奥迪,奥迪A6L,2021款 55 TFSI quattro 尊享动感型,一汽大众奥迪A6L车机系统无法激活使用,车身附件及电器,车载互联故障,
江淮汽车,江淮iEV,2015款 纯电动 iEV5,江淮iEV刹车踏板变硬 刹车突然失灵,制动系统,刹车失灵,刹车变硬
奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,奇瑞瑞虎8 PLUS发动机无法启动影响用车,发动机,无法启动,
华晨宝马,宝马3系,2021款 325i M运动曜夜套装,华晨宝马3系中控屏黑屏4S店没有配件,车身附件及电器,影音系统故障,配件争议
广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动时发动机异响严重,发动机,异响,
长城汽车,炮,2019款 2.0T 自动 两驱 舒适版 汽油 GW4C20B,长城炮售前开通车联网疑似出售问题车,,销售欺诈,
奇瑞汽车,艾瑞泽5,2017款 1.5L CVT 领潮版,奇瑞艾瑞泽5变速箱无法升挡希望厂家处理,变速器,无法换挡,
广汽本田,飞度,2021款 1.5L CVT 潮跑Pro版,广汽本田飞度4S店被查封无法退还购车定金,,服务收费,
东南汽车,东南DX7,2015款 1.5T  自动 豪华型,东南DX7电子手刹无法自动松开希望厂家处理,制动系统,故障灯亮,手刹故障
江淮汽车,嘉悦A5,2020款 1.5T CVT 精英型,江淮嘉悦A5低速行驶时发动机异响无法解决,发动机,异响,
一汽-大众奥迪,奥迪A4L,2015款 quattro 2.0T 双离合 个性运动型,一汽大众奥迪A4L发动机运转时飞轮有异响,发动机,异响,
一汽-大众,迈腾GTE,2020款 GTE 豪华型,一汽大众迈腾GTE 4S店销售库存车,,销售欺诈,
上汽大众,途昂,2020款 380TSI 四驱 豪华版 国VI,上汽大众途昂不平路面行驶时平衡杆异响,前后桥及悬挂系统,前后桥异响,配件争议
广汽丰田,凯美瑞,2010款 200G 2.0 自动 豪华版,广汽丰田凯美瑞仪表台出油反光而且粘手,车身附件及电器,仪表台开裂,
广汽丰田,凯美瑞,2010款 200G 2.0 自动 豪华版,广汽丰田凯美瑞仪表台出油反光而且粘手,车身附件及电器,仪表台开裂,
广汽丰田,凯美瑞,2010款 200G 2.0 自动 豪华版,广汽丰田凯美瑞仪表台出油反光而且粘手,车身附件及电器,仪表台开裂,
广汽丰田,凯美瑞,2010款 200G 2.0 自动 豪华版,广汽丰田凯美瑞仪表台出油反光而且粘手,车身附件及电器,仪表台开裂,
广汽丰田,凯美瑞,2010款 200G 2.0 自动 豪华版,广汽丰田凯美瑞仪表台出油反光而且粘手,车身附件及电器,仪表台开裂,
广汽丰田,凯美瑞,2010款 200G 2.0 自动 豪华版,广汽丰田凯美瑞仪表台出油反光而且粘手,车身附件及电器,仪表台开裂,
广汽丰田,凯美瑞,2010款 200G 2.0 自动 豪华版,广汽丰田凯美瑞仪表台出油反光而且粘手,车身附件及电器,仪表台开裂,
广汽丰田,凯美瑞,2010款 200G 2.0 自动 豪华版,广汽丰田凯美瑞仪表台出油反光而且粘手,车身附件及电器,仪表台开裂,
长城汽车,炮,2021款 2.0T 商用版 手动 柴油 四驱 精英型 长箱 GW4D20M,长城炮发动机运转时抖动 尿素无法自洁,发动机,抖动,排气故障
华晨宝马,宝马3系,2018款 320Li 时尚型,华晨宝马3系车内门把手氧化4S店不保修,车身附件及电器,车门把手故障,服务态度
奇瑞汽车,艾瑞泽GX,2019款 1.5T 自动 新型色版 国VI,奇瑞艾瑞泽GX发动机抖动异响怠速不稳,发动机,异响,抖动
林肯（进口）,林肯MKZ,2017款 2.0T 自动 尊雅版,林肯MKZ方向盘不正多次维修未解决,转向系统,方向盘不正,人员技术
广汽乘用车,传祺GS5,2019款 270T 自动 豪华版,广汽传祺GS5车门以及座椅生锈严重,车身附件及电器,车身生锈,
江淮汽车,嘉悦X4,2020款 1.5T CVT 超越型,江淮嘉悦X4行驶过程中变速箱有异响,变速器,异响,
长城汽车,哈弗H5,2018款 2.0T 手动 四驱 尊贵型 经典版 柴油,哈弗H5 DPF频繁自洁导致发动机机油增多,发动机,机油增多,
观致汽车,观致3,2016款 1.6T 手动 致悦型 都市SUV,观致3中控台异响希望厂家质保处理,车身附件及电器,中控台异响,
领克,领克03,2021款 2.0TD 自动 劲Plus,领克03行驶过程中变速箱顿挫起步闯动,变速器,顿挫,
长安福特,蒙迪欧致胜,2011款 200 GTDi 时尚型,长安福特蒙迪欧致胜变速箱漏油无法加速,变速器,漏油,无法加速
江淮,格尔发A5,江淮a5,江淮格尔发A5大修发动机后抖动而且动力不足,发动机,抖动,功率不足
一汽-大众,高尔夫,2021款 280TSI DSG Pro,一汽大众高尔夫发动机故障灯亮希望解决,发动机,故障灯亮,
猎豹汽车,猎豹CS10,2017款 2.0T 手动 卓越型,猎豹CS10发动机无法启动变速箱无法挂挡,发动机,无法启动,无法换挡
上汽大众,途岳,2019款 280TSI 两驱 旗舰版 国VI,上汽大众途岳发动机烧机油希望厂家处理,发动机,烧机油,
上汽通用五菱,宝骏530,2021款 全球车周年纪念版 1.5T 手动 豪华型 7座,宝骏530行驶中车内异响车机卡顿严重,车身附件及电器,影音系统故障,车内异响
