,投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
21,585251,天津一汽,骏派A50,2018款 1.5L 手动 舒适型,天津一汽骏派A50服务网点少厂家无配件,"N318,O326,",2021-04-02,信息审核
22,585250,长安福特,蒙迪欧致胜,2011款 200 GTDi 豪华型,长安福特蒙迪欧致胜变速箱漏油希望处理,"B22,",2021-04-02,厂家受理
23,585248,宝马（进口）,宝马X5,2018款 xDrive35i 典雅型,进口宝马X5经销商维修使用非原厂配件,"J300,N317,",2021-04-02,处理反馈
24,585247,长安福特,锐际,2020款 EcoBoost 245 四驱 嘉享款,长安福特锐际仪表盘屏幕闪烁希望厂家解决,"H202,",2021-04-02,厂家受理
25,585246,华晨宝马,宝马5系,2018款 528Li 上市特别版,华晨宝马5系轮毂失圆导致行驶中颠簸,"H243,",2021-04-02,处理反馈
26,585245,东风本田,本田CR-V,2021款 240TURBO CVT 两驱 都市版,东风本田CR-V后雨刮器没有雨刮片希望处理,"M284,",2021-04-02,厂家受理
27,585244,长安福特,锐界,2018款 EcoBoost 245 两驱 精锐型 5座 国V,长安福特锐界空调风量无法调节厂家不解决,"H101,I295,",2021-04-02,厂家受理
28,585243,长安凯程,欧诺S,2019款 1.5L 欧诺S 经济型 5座 JL473QG,长安凯程欧诺S车身多处出现严重生锈,"H79,",2021-04-02,信息审核
29,585242,长安福特,蒙迪欧,2013款 2.0T 自动 GTDi240豪华运动型,长安福特蒙迪欧自适应大灯故障影响安全,"H64,",2021-04-02,厂家受理
,投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
0,585241,长安福特,蒙迪欧,2017款 EcoBoost 180 自动 时尚型,长安福特蒙迪欧漏防冻液4S店查不出原因,"A37,J301,",2021-04-02,厂家受理
1,585238,一汽丰田,RAV4荣放,2016款 2.5L 自动 四驱 精英版,一汽丰田RAV4荣放半轴渗油要求解决,"G51,",2021-04-02,信息审核
2,585235,上汽大众,凌渡,2019款 280TSI DSG 舒适版 国VI,上汽大众凌渡大灯灯罩开裂导致大灯进水,"H88,H220,",2021-04-02,信息审核
3,585234,东南汽车,东南DX3,2018款 1.5L 手动 尊贵型,东南DX3转向管柱有异响维修后未解决,"D59,",2021-04-02,信息审核
4,585233,东风标致,标致408,2019款 230THP 自动 豪华版 国V,东风标致408中控锁按键损坏希望厂家处理,"H197,N318,",2021-04-02,处理反馈
5,585231,东风日产,骐达TIIDA,2011款 1.6 CVT 智能版 新骐达,东风日产骐达变速箱阀体故障 故障灯亮,"B96,B84,",2021-04-02,信息审核
6,585230,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L经销商拖延审批流程无法取车,"I282,",2021-04-02,用户评分
7,585222,比亚迪,比亚迪S7,2016款 2.0T 自动 尊贵型,比亚迪S7发动机异响 变速箱顿挫 方向盘抖动,"A9,B19,D80,",2021-04-02,处理反馈
8,585219,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A4L怠速时发动机抖动,"A24,",2021-04-02,信息审核
9,585218,华晨宝马,宝马3系,2020款 改款 330Li xDrive M运动曜夜套装,华晨宝马3系热管理模块损坏导致漏冷却液,"A37,A191,",2021-04-02,处理反馈
10,585209,吉利汽车,帝豪GL,2017款 1.3T 手动 精英型,吉利帝豪GL变速箱挡把开裂 离合器异响,"B33,B184,C65,H164,",2021-04-02,信息审核
11,585201,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质豪版,长安马自达昂克赛拉行驶中后尾灯不亮,"H82,",2021-04-02,厂家受理
12,585200,长安汽车,长安CS55,2018款 1.5T 自动 炫动型 国V,长安CS55减震器异响 发动机怠速抖动,"A24,G52,",2021-04-02,处理反馈
13,585198,华晨宝马,宝马3系,2020款 325Li 首发版,华晨宝马3系涡轮异响4S店违规操作,"A189,E43,J299,",2021-04-02,处理反馈
14,585196,广汽乘用车,传祺GS5,2020款 进阶款 270T 自动 豪华版,广汽传祺GS5雨刮和车门异响大灯装饰条开裂,"H79,H168,H72,H68,H60,H220,",2021-04-02,信息审核
15,585189,长安马自达,马自达CX-5,2017款 2.0L 自动 两驱 智享型 国V,长安马自达CX-5保修方向机后未做四轮定位,"J299,",2021-04-02,厂家受理
16,585188,江铃福特,领界,2020款 领界S EcoBoost 145 CVT 尊领型,江铃福特领界前保险杠出厂前二次喷漆,"M284,",2021-04-02,处理反馈
17,585187,广汽三菱,奕歌,2019款 1.5T CVT 两驱 梦想版 国VI,广汽三菱奕歌行驶过程中车门有异响,"H72,",2021-04-02,厂家受理
18,585185,北京现代,朗动,2016款 1.6L 自动 尊贵型,北京现代朗动方向机卡顿希望厂家解决,"D123,",2021-04-02,信息审核
19,585180,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧发动机节气门处有渗油的现象,"A12,",2021-04-02,处理反馈
20,585178,广汽三菱,欧蓝德,2020款 2.4L 四驱 致享版 5座,三菱欧蓝德车内异响 车身生锈 车身共振,"H79,H268,H164,",2021-04-02,厂家受理
21,585177,一汽-大众奥迪,奥迪Q5L,2018款 45 TFSI 尊享时尚型 国VI,一汽大众奥迪Q5L空调异味4S店至今尚未解决,"H121,",2021-04-02,信息审核
22,585172,长安汽车,长安欧尚科赛,2020款 GT 2.0T 自动 悦尚型 6座,长安欧尚科赛电瓶充不满电希望处理,"H146,",2021-04-02,处理反馈
23,585168,一汽-大众,高尔夫,2015款 1.6L 自动 舒适型,一汽大众高尔夫变速器故障报警要求解决,"B96,",2021-04-02,处理反馈
24,585166,一汽-大众奥迪,奥迪A6L,2020款 45 TFSI 臻选致雅型,一汽大众奥迪A6L发动机抖动座椅异响,"A24,H169,",2021-04-02,信息审核
25,585163,长城汽车,哈弗H6 Coupe,2018款 1.5T 自动 两驱 超豪型 红标,哈弗H6 Coupe电瓶亏电导致启停失灵,"H146,",2021-04-02,厂家受理
26,585159,长安汽车,长安欧尚科赛,2020款 GT 2.0T 自动 悦尚型 7座,长安欧尚科赛电池充不满希望尽快处理,"H146,",2021-04-02,厂家受理
27,585158,东风日产,逍客,2016款 1.2T CVT 时尚版,东风日产逍客发动机偶尔熄火4S店无法解决,"A14,J298,J301,",2021-04-02,信息审核
28,585155,北汽新能源,北汽新能源EU,2016款 EU260 乐享版,北汽新能源EU转向机故障 方向盘锁死,"D265,",2021-04-02,用户评分
29,585154,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A4L后挡风玻璃未受外力爆裂,"H113,",2021-04-02,信息审核
